algorithm,type,scenario,n,run,time_ns,peak_dynamic_bytes
mergesort,unknown,random,100,7,5500,800
quicksort,unknown,random,100,7,4300,0
mergesort,unknown,random,100,8,5300,800
quicksort,unknown,random,100,8,4100,0
mergesort,unknown,random,100,9,5500,800
quicksort,unknown,random,100,9,3900,0
mergesort,unknown,random,100,10,5300,800
quicksort,unknown,random,100,10,4100,0
mergesort,unknown,random,100,11,5100,800
quicksort,unknown,random,100,11,4200,0
mergesort,unknown,random,100,12,5200,800
quicksort,unknown,random,100,12,4100,0
mergesort,unknown,random,100,13,5300,800
quicksort,unknown,random,100,13,4200,0
mergesort,unknown,random,100,14,5000,800
quicksort,unknown,random,100,14,4100,0
mergesort,unknown,random,100,15,5300,800
quicksort,unknown,random,100,15,4200,0
mergesort,unknown,random,100,16,5300,800
quicksort,unknown,random,100,16,4200,0
mergesort,unknown,random,100,17,5000,800
quicksort,unknown,random,100,17,4000,0
mergesort,unknown,random,100,18,5500,800
quicksort,unknown,random,100,18,3800,0
mergesort,unknown,random,100,19,5100,800
quicksort,unknown,random,100,19,4000,0
mergesort,unknown,random,100,20,5300,800
quicksort,unknown,random,100,20,4100,0
mergesort,unknown,random,100,21,4900,800
quicksort,unknown,random,100,21,3900,0
mergesort,unknown,random,100,22,5400,800
quicksort,unknown,random,100,22,4100,0
mergesort,unknown,random,100,23,5200,800
quicksort,unknown,random,100,23,4200,0
mergesort,unknown,random,100,24,5100,800
quicksort,unknown,random,100,24,3800,0
mergesort,unknown,random,100,25,5400,800
quicksort,unknown,random,100,25,4000,0
mergesort,unknown,random,100,26,5100,800
quicksort,unknown,random,100,26,4000,0
mergesort,unknown,random,100,27,5000,800
quicksort,unknown,random,100,27,4100,0
mergesort,unknown,random,100,28,5500,800
quicksort,unknown,random,100,28,4000,0
mergesort,unknown,random,100,29,5200,800
quicksort,unknown,random,100,29,3900,0
mergesort,unknown,random,100,30,5000,800
quicksort,unknown,random,100,30,4100,0
mergesort,unknown,asc,1000,1,33200,8000
quicksort,unknown,asc,1000,1,1550100,0
mergesort,unknown,asc,1000,2,31200,8000
quicksort,unknown,asc,1000,2,1506400,0
mergesort,unknown,asc,1000,3,30200,8000
quicksort,unknown,asc,1000,3,1548000,0
mergesort,unknown,asc,1000,4,32500,8000
quicksort,unknown,asc,1000,4,1530300,0
mergesort,unknown,asc,1000,5,31400,8000
quicksort,unknown,asc,1000,5,1525300,0
mergesort,unknown,asc,1000,6,31800,8000
quicksort,unknown,asc,1000,6,1527600,0
mergesort,unknown,asc,1000,7,30800,8000
quicksort,unknown,asc,1000,7,1532800,0
mergesort,unknown,asc,1000,8,30900,8000
quicksort,unknown,asc,1000,8,1528700,0
mergesort,unknown,asc,1000,9,31900,8000
quicksort,unknown,asc,1000,9,1531800,0
mergesort,unknown,asc,1000,10,31300,8000
quicksort,unknown,asc,1000,10,1792300,0
mergesort,unknown,asc,1000,11,46100,8000
quicksort,unknown,asc,1000,11,1528300,0
mergesort,unknown,asc,1000,12,55000,8000
quicksort,unknown,asc,1000,12,1633800,0
mergesort,unknown,asc,1000,13,33300,8000
quicksort,unknown,asc,1000,13,1795800,0
mergesort,unknown,asc,1000,14,33800,8000
